label	files	dirs	bytes	role_suggestion	path
DISCOVERED_TEMPLATE_LIKE_DIR	1	0	59	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\MODULOS\MODULE_inicio\BOVEDA_MODULO\00_PLANTILLA_MAESTRA_REFERENCIA\04_GATES
DISCOVERED_TEMPLATE_LIKE_DIR	1	0	78	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\MODULOS\MODULE_inicio\BOVEDA_MODULO\00_PLANTILLA_MAESTRA_REFERENCIA\02_TASKS
DISCOVERED_TEMPLATE_LIKE_DIR	1	0	58	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\MODULOS\MODULE_inicio\BOVEDA_MODULO\00_PLANTILLA_MAESTRA_REFERENCIA\03_EVID
DISCOVERED_TEMPLATE_LIKE_DIR	1	0	78	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\MODULOS\MODULE_mejorar-plantilla-maestra-y-pantilla-modulo-inicial\BOVEDA_MODULO\10_TRABAJO_MEJORA_PLANTILLAS\03_APPLY\MODULE\02_TASKS
DISCOVERED_TEMPLATE_LIKE_DIR	1	0	58	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\MODULOS\MODULE_mejorar-plantilla-maestra-y-pantilla-modulo-inicial\BOVEDA_MODULO\10_TRABAJO_MEJORA_PLANTILLAS\03_APPLY\MODULE\03_EVID
DISCOVERED_TEMPLATE_LIKE_DIR	1	0	74	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\MODULOS\MODULE_mejorar-plantilla-maestra-y-pantilla-modulo-inicial\BOVEDA_MODULO\10_TRABAJO_MEJORA_PLANTILLAS\03_APPLY\MODULE\01_OBJ
DISCOVERED_TEMPLATE_LIKE_DIR	1	0	45	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\MODULOS\MODULE_mejorar-plantilla-maestra-y-pantilla-modulo-inicial\BOVEDA_MODULO\10_TRABAJO_MEJORA_PLANTILLAS\03_APPLY\MASTER\10_CANVAS
DISCOVERED_TEMPLATE_LIKE_DIR	1	0	597	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\MODULOS\MODULE_mejorar-plantilla-maestra-y-pantilla-modulo-inicial\BOVEDA_MODULO\10_TRABAJO_MEJORA_PLANTILLAS\03_APPLY\MODULE\00_CTL
BACKUP_TEMPLATE_CANDIDATE	93	28	89914	FUENTE_RICA_BACKUP_CANDIDATA	C:\ENGREMIAT_CORE\backups\template-improvement\official-master-before-e05-20260619-231559
BACKUP_TEMPLATE_CANDIDATE	8	7	1199	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\ENGREMIAT_CORE\backups\template-improvement\official-master-before-e07-20260619-231838
