screen_id	visual_pass	answer	notes
PROYECTOS	True	s	s
MEMORIA_DOCUMENTACION	True	s	s
CONTROL_ESTADO	True	s	s
LAUNCHERS_CONFIGURACION	True	s	s
OPERADOR_WORKERS	True	s	s
TARJETAS	True	s	s
