"ProcessName","Id","CPU","WorkingSetMB","StartTime","Path","MainWindowTitle"
"svchost","5992","0,265625","22,6","18/06/2026 11:46:31","C:\WINDOWS\system32\svchost.exe",""
"svchost","5844",,"9,92",,,""
"svchost","5972",,"9,28",,,""
"svchost","6860",,"7,28",,,""
"svchost","6868",,"55,87",,,""
"svchost","6852",,"10,96",,,""
"svchost","6300",,"22,89",,,""
"svchost","6476",,"23,4",,,""
"svchost","10256",,"17",,,""
"svchost","14792",,"8,9",,,""
"svchost","14884",,"17,02",,,""
"svchost","13824",,"7,63",,,""
"svchost","12388",,"16,54",,,""
"svchost","13216",,"11,86",,,""
"svchost","18528",,"9,39",,,""
"svchost","20020",,"13,89",,,""
"svchost","18252",,"46,69",,,""
"svchost","17464","0,359375","40,09","18/06/2026 11:56:24","C:\WINDOWS\system32\svchost.exe",""
"svchost","17940",,"27,64",,,""
"svchost","11032",,"17,98",,,""
"svchost","11640",,"7,34",,,""
"svchost","11024",,"9,92",,,""
"svchost","10780","0,03125","14,5","18/06/2026 11:48:00","C:\WINDOWS\system32\svchost.exe",""
"svchost","10980",,"9,96",,,""
"svchost","12296",,"27,27",,,""
"svchost","12376",,"7,96",,,""
"svchost","11768",,"15,9",,,""
"svchost","11752",,"10,86",,,""
"svchost","11760",,"19,26",,,""
"svchost","2468",,"10,2",,,""
"svchost","2604",,"10,69",,,""
"svchost","2448",,"22,15",,,""
"svchost","2104",,"7,99",,,""
"svchost","2420",,"11,86",,,""
"svchost","2868",,"10,54",,,""
"svchost","2880",,"26,19",,,""
"svchost","2832",,"9,14",,,""
"svchost","2680",,"17,34",,,""
"svchost","2692",,"9,98",,,""
"svchost","1632",,"11,58",,,""
"svchost","1976",,"14,06",,,""
"svchost","1568",,"17,88",,,""
"svchost","1320",,"21,61",,,""
"svchost","1448",,"34,81",,,""
"svchost","2008",,"10,21",,,""
"svchost","2064",,"15,6",,,""
"svchost","2000",,"16,99",,,""
"svchost","1984",,"13,65",,,""
"svchost","1992",,"15,34",,,""
"svchost","2980",,"7,55",,,""
"svchost","4124",,"8,89",,,""
"svchost","4420",,"12,11",,,""
"svchost","3828",,"16,99",,,""
"svchost","3584",,"8,82",,,""
"svchost","3748",,"24,32",,,""
"svchost","5280",,"11,49",,,""
"svchost","5484",,"23,09",,,""
"svchost","5084",,"7,54",,,""
"svchost","4820",,"10,36",,,""
"svchost","4864","0,015625","17,19","18/06/2026 11:53:00","C:\WINDOWS\system32\svchost.exe",""
"svchost","3244",,"19,3",,,""
"svchost","3340",,"9,19",,,""
"svchost","3036",,"28,08",,,""
"svchost","2988",,"18,8",,,""
"svchost","3028",,"11,53",,,""
"svchost","3496",,"10,96",,,""
"svchost","3576",,"13,61",,,""
"svchost","3460",,"17,88",,,""
"svchost","3348",,"11,72",,,""
"svchost","3424",,"22,01",,,""
"System","4",,"1,12",,,""
"SystemSettings","1036","1,734375","1,82","18/06/2026 11:47:59","C:\Windows\ImmersiveControlPanel\SystemSettings.exe","Configuración"
"taskhostw","5232","0,125","17,94","18/06/2026 11:46:31","C:\WINDOWS\system32\taskhostw.exe",""
"unsecapp","10292",,"9,17",,,""
"vmcompute","4040",,"14,24",,,""
"vmmemWSL","16764",,"1410,25",,,""
"vmms","2548",,"31,42",,,""
"vmwp","6136",,"29,89",,,""
"WidgetBoard","9780","0,359375","37,14","18/06/2026 11:46:32","C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_526.11701.50.0_x64__cw5n1h2txyewy\WidgetBoard.exe",""
"WidgetService","10396","0,46875","25,67","18/06/2026 11:46:32","C:\Program Files\WindowsApps\Microsoft.WidgetsPlatformRuntime_1.6.19.0_x64__8wekyb3d8bbwe\WidgetService\WidgetService.exe",""
"WindowsTerminal","5104","2,671875","108,02","18/06/2026 11:48:10",,"Administrador: Windows PowerShell"
"WindowsTerminal","1832","0,5625","99,21","18/06/2026 12:05:27","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.24.11321.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe","Windows PowerShell"
"wininit","1116",,"9,36",,,""
"winlogon","1256",,"15,6",,,""
"WmiPrvSE","3492",,"13,81",,,""
"wsc_proxy","2996",,"16,54",,,""
"wsl","18064","0,03125","7,88","18/06/2026 11:52:06",,""
"wsl","18120","0,046875","12,55","18/06/2026 11:52:06",,""
"wsl","16588","0,046875","12,46","18/06/2026 11:46:51","C:\Program Files\WSL\wsl.exe",""
"wsl","17796","0","7,87","18/06/2026 11:46:51","C:\WINDOWS\System32\wsl.exe",""
"wslhost","18164","0,015625","12,9","18/06/2026 11:46:51","C:\Program Files\WSL\wslhost.exe",""
"wslhost","18316","0","11,43","18/06/2026 11:46:51","C:\Program Files\WSL\wslhost.exe",""
"wslhost","7904","0,03125","11,57","18/06/2026 11:46:51","C:\Program Files\WSL\wslhost.exe",""
"wslhost","11004","0,015625","11,75","18/06/2026 11:52:06",,""
"wslrelay","16532","0,03125","10,77","18/06/2026 11:46:50","C:\Program Files\WSL\wslrelay.exe",""
"wslservice","6892",,"32,43",,,""
