package_idsafe_package_idsource_pathtarget_pathhas_module_jsonneeds_identitymodule_typeactionapply_nowrequires_gate
controlled-worker-task-019	controlled-worker-task-019	C:\ENGREMIAT_CORE\data\controlled-worker-task-019	data\_OFFICIAL_MODULES\controlled-worker-task-019	False	True	PANEL	PLAN_CREATE_IDENTITY_THEN_COPY_TO_OFFICIAL	False	True
core-consolidation-204	core-consolidation-204	C:\ENGREMIAT_CORE\data\core-consolidation-204	data\_OFFICIAL_MODULES\core-consolidation-204	False	True	ADAPTER	PLAN_CREATE_IDENTITY_THEN_COPY_TO_OFFICIAL	False	True
core-consolidation-205	core-consolidation-205	C:\ENGREMIAT_CORE\data\core-consolidation-205	data\_OFFICIAL_MODULES\core-consolidation-205	False	True	ADAPTER	PLAN_CREATE_IDENTITY_THEN_COPY_TO_OFFICIAL	False	True
core-consolidation-206	core-consolidation-206	C:\ENGREMIAT_CORE\data\core-consolidation-206	data\_OFFICIAL_MODULES\core-consolidation-206	False	True	ADAPTER	PLAN_CREATE_IDENTITY_THEN_COPY_TO_OFFICIAL	False	True
core-consolidation-207	core-consolidation-207	C:\ENGREMIAT_CORE\data\core-consolidation-207	data\_OFFICIAL_MODULES\core-consolidation-207	False	True	ADAPTER	PLAN_CREATE_IDENTITY_THEN_COPY_TO_OFFICIAL	False	True
daily-loop-046	daily-loop-046	C:\ENGREMIAT_CORE\data\daily-loop-046	data\_OFFICIAL_MODULES\daily-loop-046	False	True	ADAPTER	PLAN_CREATE_IDENTITY_THEN_COPY_TO_OFFICIAL	False	True
daily-production-052	daily-production-052	C:\ENGREMIAT_CORE\data\daily-production-052	data\_OFFICIAL_MODULES\daily-production-052	False	True	ADAPTER	PLAN_CREATE_IDENTITY_THEN_COPY_TO_OFFICIAL	False	True
daily-value-dashboard-061	daily-value-dashboard-061	C:\ENGREMIAT_CORE\data\daily-value-dashboard-061	data\_OFFICIAL_MODULES\daily-value-dashboard-061	False	True	PANEL	PLAN_CREATE_IDENTITY_THEN_COPY_TO_OFFICIAL	False	True
daily-workbench-086	daily-workbench-086	C:\ENGREMIAT_CORE\data\daily-workbench-086	data\_OFFICIAL_MODULES\daily-workbench-086	False	True	ADAPTER	PLAN_CREATE_IDENTITY_THEN_COPY_TO_OFFICIAL	False	True
dashboard-index-092	dashboard-index-092	C:\ENGREMIAT_CORE\data\dashboard-index-092	data\_OFFICIAL_MODULES\dashboard-index-092	False	True	PANEL	PLAN_CREATE_IDENTITY_THEN_COPY_TO_OFFICIAL	False	True
dashboard-refresh-119	dashboard-refresh-119	C:\ENGREMIAT_CORE\data\dashboard-refresh-119	data\_OFFICIAL_MODULES\dashboard-refresh-119	False	True	PANEL	PLAN_CREATE_IDENTITY_THEN_COPY_TO_OFFICIAL	False	True
decision-console-039	decision-console-039	C:\ENGREMIAT_CORE\data\decision-console-039	data\_OFFICIAL_MODULES\decision-console-039	False	True	ADAPTER	PLAN_CREATE_IDENTITY_THEN_COPY_TO_OFFICIAL	False	True
decision-history-048	decision-history-048	C:\ENGREMIAT_CORE\data\decision-history-048	data\_OFFICIAL_MODULES\decision-history-048	False	True	ADAPTER	PLAN_CREATE_IDENTITY_THEN_COPY_TO_OFFICIAL	False	True
decision-shortcuts-088	decision-shortcuts-088	C:\ENGREMIAT_CORE\data\decision-shortcuts-088	data\_OFFICIAL_MODULES\decision-shortcuts-088	False	True	ADAPTER	PLAN_CREATE_IDENTITY_THEN_COPY_TO_OFFICIAL	False	True
dev	dev	C:\ENGREMIAT_CORE\data\dev	data\_OFFICIAL_MODULES\dev	False	True	ADAPTER	PLAN_CREATE_IDENTITY_THEN_COPY_TO_OFFICIAL	False	True
dev-assisted-worker	dev-assisted-worker	C:\ENGREMIAT_CORE\data\dev-assisted-worker	data\_OFFICIAL_MODULES\dev-assisted-worker	False	True	ADAPTER	PLAN_CREATE_IDENTITY_THEN_COPY_TO_OFFICIAL	False	True
dual-pc-development-workflow	dual-pc-development-workflow	C:\ENGREMIAT_CORE\data\dual-pc-development-workflow	data\_OFFICIAL_MODULES\dual-pc-development-workflow	False	True	ADAPTER	PLAN_CREATE_IDENTITY_THEN_COPY_TO_OFFICIAL	False	True
ENGREMIAT_007E_PANEL_MAESTRO_OPERATIVO	ENGREMIAT_007E_PANEL_MAESTRO_OPERATIVO	C:\ENGREMIAT_CORE\data\ENGREMIAT_007E_PANEL_MAESTRO_OPERATIVO	data\_OFFICIAL_MODULES\ENGREMIAT_007E_PANEL_MAESTRO_OPERATIVO	False	True	PANEL	PLAN_CREATE_IDENTITY_THEN_COPY_TO_OFFICIAL	False	True
ENGREMIAT_MODULAR_PLATFORM_001	ENGREMIAT_MODULAR_PLATFORM_001	C:\ENGREMIAT_CORE\data\ENGREMIAT_MODULAR_PLATFORM_001	data\_OFFICIAL_MODULES\ENGREMIAT_MODULAR_PLATFORM_001	False	True	ADAPTER	PLAN_CREATE_IDENTITY_THEN_COPY_TO_OFFICIAL	False	True
ENGREMIAT_MODULAR_PLATFORM_MANUALS_001	ENGREMIAT_MODULAR_PLATFORM_MANUALS_001	C:\ENGREMIAT_CORE\data\ENGREMIAT_MODULAR_PLATFORM_MANUALS_001	data\_OFFICIAL_MODULES\ENGREMIAT_MODULAR_PLATFORM_MANUALS_001	False	True	MANUALS	PLAN_CREATE_IDENTITY_THEN_COPY_TO_OFFICIAL	False	True
ENGREMIAT_MODULES_OFFICIALIZATION_001	ENGREMIAT_MODULES_OFFICIALIZATION_001	C:\ENGREMIAT_CORE\data\ENGREMIAT_MODULES_OFFICIALIZATION_001	data\_OFFICIAL_MODULES\ENGREMIAT_MODULES_OFFICIALIZATION_001	False	True	ADAPTER	PLAN_CREATE_IDENTITY_THEN_COPY_TO_OFFICIAL	False	True
ENGREMIAT_MODULE_INTAKE_REGISTRY_001	ENGREMIAT_MODULE_INTAKE_REGISTRY_001	C:\ENGREMIAT_CORE\data\ENGREMIAT_MODULE_INTAKE_REGISTRY_001	data\_OFFICIAL_MODULES\ENGREMIAT_MODULE_INTAKE_REGISTRY_001	True	False	REGISTRY	PLAN_COPY_TO_OFFICIAL	False	True
ENGREMIAT_OPERATIONAL_MASTER_PANEL_001	ENGREMIAT_OPERATIONAL_MASTER_PANEL_001	C:\ENGREMIAT_CORE\data\ENGREMIAT_OPERATIONAL_MASTER_PANEL_001	data\_OFFICIAL_MODULES\ENGREMIAT_OPERATIONAL_MASTER_PANEL_001	False	True	PANEL	PLAN_CREATE_IDENTITY_THEN_COPY_TO_OFFICIAL	False	True
errors	errors	C:\ENGREMIAT_CORE\data\errors	data\_OFFICIAL_MODULES\errors	False	True	ADAPTER	PLAN_CREATE_IDENTITY_THEN_COPY_TO_OFFICIAL	False	True
events	events	C:\ENGREMIAT_CORE\data\events	data\_OFFICIAL_MODULES\events	False	True	ADAPTER	PLAN_CREATE_IDENTITY_THEN_COPY_TO_OFFICIAL	False	True
evidence	evidence	C:\ENGREMIAT_CORE\data\evidence	data\_OFFICIAL_MODULES\evidence	False	True	ADAPTER	PLAN_CREATE_IDENTITY_THEN_COPY_TO_OFFICIAL	False	True
