label	files	dirs	bytes	path
CURRENT_OFFICIAL_MASTER	9	8	1720	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\BOVEDA_PROYECTO\00_PLANTILLA_MAESTRA_OFICIAL
CURRENT_MODULE_REF	14	8	8369	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\MODULOS\MODULE_inicio\BOVEDA_MODULO\00_PLANTILLA_MAESTRA_REFERENCIA
BACKUP_E05_MASTER_RICH_CANDIDATE	93	28	89914	C:\ENGREMIAT_CORE\backups\template-improvement\official-master-before-e05-20260619-231559
BACKUP_E05_MODULE_RICH_CANDIDATE	89	28	85898	C:\ENGREMIAT_CORE\backups\template-improvement\module-inicio-ref-before-e05-20260619-231559
BACKUP_E07_MASTER_AFTER_CLEANING	8	7	1199	C:\ENGREMIAT_CORE\backups\template-improvement\official-master-before-e07-20260619-231838
BACKUP_E07_MODULE_AFTER_CLEANING	7	6	1062	C:\ENGREMIAT_CORE\backups\template-improvement\module-ref-before-e07-20260619-231838
