score	files	total_size	features	folder	top_files
629	10	7426	project,module,roadmap,visual_graph,multi_file,many_files	C:\ENGREMIAT_CORE\obsidian-vaults\BOVEDA_PROJECT_ENGREMIAT_CORE_BACKUP_20260619-141739	PROJECT_CANVAS.canvas | PROJECT_MODULES_INDEX.md | PROJECT_HOME.md | PROJECT_GRAPH_VIEW_SELECTOR.md | PROJECT_EVIDENCE_INDEX.md | PROJECT_STATUS.md | ROADMAP_INDEX.md | PROJECT_REPORTS_INDEX.md
598	10	9841	master,module,multi_file,many_files	C:\ENGREMIAT_CORE\obsidian-vaults\ENGREMIAT_MASTER_VAULT_20260619-123146\00_CONTROL_OPERATIVO	GRAPH_VIEW_SELECTOR.md | FIRST_OFFICIAL_MODULE_REQUEST.md | GRAPH_NAVIGATION_MAP.md | GRAPH_GROUPS_MANUAL_APPLY.md | GRAPH_VIEW_FILTERS.md | BOVEDA_ENGREMIAT_MASTER_STATUS.md | TIMELINE_INDEX.md | VAULT_BOOT_STATUS.md
598	6	7301	project,module,visual_graph,multi_file,many_files	C:\ENGREMIAT_CORE\obsidian-vaults\BOVEDA_PROJECT_ENGREMIAT_CORE\02_MODULES	MODULE_PROJECT_CANVAS.canvas | MODULE_PROJECT_EVIDENCE.md | MODULE_PROJECT_VIEW.md | PROJECT_MODULES_INDEX.md | MODULE_PROJECT_STATUS.md | MODULE_CARD.md
546	7	3440	project,module,roadmap,multi_file,many_files	C:\ENGREMIAT_CORE\obsidian-vaults\BOVEDA_PROJECT_ENGREMIAT_SIMULATION_LAB\02_ROADMAPS	SIM_PROJECT_20260619-144124_ROADMAP_PROPOSAL.md | ROADMAP_001_VISUAL_TASK_MANAGEMENT_MODULE.md | ROADMAP_MODEL.md | SIM_PROJECT_20260619-153021_prueba2_ROADMAP.md | SIM_PROJECT_20260619-153101_prueba2_ROADMAP.md | SIM_PROJECT_20260619-152304_prueba1_ROADMAP.md | ROADMAPS_INDEX.md
531	11	5941	project,multi_file,many_files	C:\ENGREMIAT_CORE\obsidian-vaults\BOVEDA_PROJECT_ENGREMIAT_SIMULATION_LAB\04_SIMULATED_WORKERS	RUN_001_SIM_WORKER_PLANNER.md | RUN_002_SIM_WORKER_OBSIDIAN_BUILDER.md | RUN_002_SIM_WORKER_OBSIDIAN_BUILDER.md | SIM_WORKER_PLANNER.md | RUN_003_SIM_WORKER_VALIDATOR.md | RUN_001_SIM_WORKER_PLANNER.md | RUN_003_SIM_WORKER_VALIDATOR.md | SIM_WORKER_VALIDATOR.md
519	5	6768	project,module,visual_graph,multi_file,many_files	C:\ENGREMIAT_CORE\obsidian-vaults\BOVEDA_PROJECT_ENGREMIAT_CORE\02_MODULES\MODULE_arquitectura_global_engremiat	MODULE_PROJECT_CANVAS.canvas | MODULE_PROJECT_EVIDENCE.md | MODULE_PROJECT_VIEW.md | MODULE_PROJECT_STATUS.md | MODULE_CARD.md
474	8	4146	project,visual_graph,multi_file,many_files	C:\ENGREMIAT_CORE\obsidian-vaults\BOVEDA_PROJECT_ENGREMIAT_SIMULATION_LAB\07_EVIDENCE	EV_002_STRUCTURE_CANVAS.md | EV_SCOPE.md | EV_STRUCTURE.md | EV_VALIDATION.md | EV_001_SCOPE_NOTE.md | EV_003_VALIDATION_REPORT.md | EVIDENCE_MODEL.md | EVIDENCE_INDEX.md
462	7	3886	project,module,multi_file,many_files	C:\ENGREMIAT_CORE\obsidian-vaults\BOVEDA_PROJECT_ENGREMIAT_SIMULATION_LAB\01_OBJECTIVES	SIM_PROJECT_20260619-144124_INTAKE.md | OBJ_001_VISUAL_TASK_MANAGEMENT_MODULE.md | SIM_PROJECT_20260619-152304_prueba1_OBJECTIVE.md | SIM_PROJECT_20260619-153021_prueba2_OBJECTIVE.md | SIM_PROJECT_20260619-153101_prueba2_OBJECTIVE.md | OBJECTIVES_INDEX.md | OBJECTIVE_MODEL.md
454	7	4238	project,multi_file,many_files	C:\ENGREMIAT_CORE\obsidian-vaults\BOVEDA_PROJECT_ENGREMIAT_SIMULATION_LAB\00_LAB_CONTROL	LAB_STATUS.md | SIMULATION_LAB_V1_CLOSE.md | SIMULATION_CYCLE.md | CYCLE_RUN_001_FINAL_STATUS.md | CYCLE_RUN_001.md | SIM_PROJECT_20260619-144124_HUMAN_REVIEW.md | OBJECT_MODEL_REGISTRY.md
371	6	3814	project,multi_file,many_files	C:\ENGREMIAT_CORE\obsidian-vaults\BOVEDA_PROJECT_ENGREMIAT_SIMULATION_LAB\04_SIMULATED_WORKERS\RUNS	RUN_001_SIM_WORKER_PLANNER.md | RUN_002_SIM_WORKER_OBSIDIAN_BUILDER.md | RUN_002_SIM_WORKER_OBSIDIAN_BUILDER.md | RUN_001_SIM_WORKER_PLANNER.md | RUN_003_SIM_WORKER_VALIDATOR.md | RUN_003_SIM_WORKER_VALIDATOR.md
