screen_id	title	opened	title_ok	ruta_ok	rol_ok	estado_ok	principio_ok	enter_refresh_ok	help_ok	m_ok	back_quit_ok	isolated_notice_ok	candidate	human_notes
PROYECTOS	PROYECTOS	False	False	False	False	False	False	False	False	False	False	False	C:\ENGREMIAT_CORE\documents\screen-normalizer-internal-candidates-generation\generated\PROYECTOS.candidate.isolated.ps1	PENDING_MANUAL_VISUAL_SMOKE
MEMORIA_DOCUMENTACION	MEMORIA Y DOCUMENTACION	False	False	False	False	False	False	False	False	False	False	False	C:\ENGREMIAT_CORE\documents\screen-normalizer-internal-candidates-generation\generated\MEMORIA_DOCUMENTACION.candidate.isolated.ps1	PENDING_MANUAL_VISUAL_SMOKE
CONTROL_ESTADO	CONTROL Y ESTADO	False	False	False	False	False	False	False	False	False	False	False	C:\ENGREMIAT_CORE\documents\screen-normalizer-internal-candidates-generation\generated\CONTROL_ESTADO.candidate.isolated.ps1	PENDING_MANUAL_VISUAL_SMOKE
LAUNCHERS_CONFIGURACION	LAUNCHERS Y CONFIGURACION	False	False	False	False	False	False	False	False	False	False	False	C:\ENGREMIAT_CORE\documents\screen-normalizer-internal-candidates-generation\generated\LAUNCHERS_CONFIGURACION.candidate.isolated.ps1	PENDING_MANUAL_VISUAL_SMOKE
OPERADOR_WORKERS	OPERADOR Y WORKERS	False	False	False	False	False	False	False	False	False	False	False	C:\ENGREMIAT_CORE\documents\screen-normalizer-internal-candidates-generation\generated\OPERADOR_WORKERS.candidate.isolated.ps1	PENDING_MANUAL_VISUAL_SMOKE
TARJETAS	TARJETAS	False	False	False	False	False	False	False	False	False	False	False	C:\ENGREMIAT_CORE\documents\screen-normalizer-internal-candidates-generation\generated\TARJETAS.candidate.isolated.ps1	PENDING_MANUAL_VISUAL_SMOKE
