screen_id	opened	visual_pass	adapter_return_ok	enter_ok	help_ok	m_ok	exit_ok	answer	notes
PROYECTOS	True	True	True	True	True	True	True	s	
MEMORIA_DOCUMENTACION	True	True	True	True	True	True	True	s	
CONTROL_ESTADO	True	True	True	True	True	True	True	s	
LAUNCHERS_CONFIGURACION	True	True	True	True	True	True	True	s	s
OPERADOR_WORKERS	True	True	True	True	True	True	True	s	s
TARJETAS	True	True	True	True	True	True	True	s	
