2026-06-20T08:20:28 event=smart_start_recent_workspace detail=opcion_1
2026-06-20T08:22:22 event=continue_last_focus detail=smart_start_focus
2026-06-20T08:23:43 event=continue_last_focus detail=smart_start_focus
2026-06-20T08:24:09 event=continue_last_focus detail=smart_start_focus
2026-06-20T08:27:22 event=continue_last_focus detail=smart_start_focus
2026-06-20T08:45:48 event=help detail=ayuda
2026-06-20T08:46:43 event=help detail=ayuda
2026-06-20T08:49:39 event=manual_status detail=copyable_status
2026-06-20T08:50:24 event=manual_status detail=copyable_status
