score	name	start	end	reason
420	Select-Project	10537	11880	ABRIR_PROYECTO,HISTORICO,ACTIVO,numero_entrar,step_commands,name_match
380	Show-Projects	11882	13030	PROYECTOS,HISTORICO,ACTIVO,numero_entrar,name_match
100	Select-Module	13032	15623	numero_entrar,step_commands
40	Clean-StaleActiveProject	10087	10535	name_match
40	Get-ProjectRoots	2035	2576	name_match
40	Set-Project-ParentMemory	3076	3519	name_match
40	Get-Projects	2578	3074	name_match
40	Set-Project-State	9273	9548	name_match
40	New-Project	3521	9271	name_match
